,status_bbb,papyrus_SMILES,papyrus_inchi_key,inchi_connectivity
26,0.0,CCCN(CCC)S(=O)(=O)c1ccc(C(=O)O)cc1,DBABZHXKTCFAPX-UHFFFAOYSA-N,DBABZHXKTCFAPX
27,1.0,O=C1CN=C(c2ccccc2)c2cc([N+](=O)[O-])ccc2N1,KJONHKAYOJNZEC-UHFFFAOYSA-N,KJONHKAYOJNZEC
28,1.0,CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,IISBACLAFKSPIT-UHFFFAOYSA-N,IISBACLAFKSPIT
29,1.0,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,DDBREPKUVSBGFI-UHFFFAOYSA-N,DDBREPKUVSBGFI
30,1.0,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,CGIGDMFJXJATDK-UHFFFAOYSA-N,CGIGDMFJXJATDK
31,1.0,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,RFHAOTPXVQNOHP-UHFFFAOYSA-N,RFHAOTPXVQNOHP
32,0.0,CN(C)C(=O)C(CCN1CCC(O)(c2ccc(Cl)cc2)CC1)(c1ccccc1)c1ccccc1,RDOIQAHITMMDAJ-UHFFFAOYSA-N,RDOIQAHITMMDAJ
33,1.0,CN(C)CCOC(c1ccccc1)c1ccccc1,ZZVUWRFHKOJYTH-UHFFFAOYSA-N,ZZVUWRFHKOJYTH
34,1.0,CCCCc1c(O)n(-c2ccccc2)n(-c2ccccc2)c1=O,PKYKNPLSFOKASK-UHFFFAOYSA-N,PKYKNPLSFOKASK
35,1.0,CCC(=O)N(c1ccccc1)C1(COC)CCN(CCc2cccs2)CC1,GGCSSNBKKAUURC-UHFFFAOYSA-N,GGCSSNBKKAUURC
36,1.0,Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1,JLKIGFTWXXRPMT-UHFFFAOYSA-N,JLKIGFTWXXRPMT
37,0.0,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,ZZUFCTLCJUWOSV-UHFFFAOYSA-N,ZZUFCTLCJUWOSV
38,1.0,Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1,ZAFYATHCZYHLPB-UHFFFAOYSA-N,ZAFYATHCZYHLPB
39,1.0,O=C1CCCN1CCCCN1CCN(c2cc(C(F)(F)F)ccn2)CC1,YKJJCYZZWWSBEW-UHFFFAOYSA-N,YKJJCYZZWWSBEW
40,0.0,C[C@@H](CN1CC(=O)NC(=O)C1)N1CC(=O)NC(=O)C1,BMKDZUISNHGIBY-ZETCQYMHSA-N,BMKDZUISNHGIBY
41,1.0,CN1C[C@@H]2c3ccccc3Oc3ccc(Cl)cc3[C@H]2C1,VSWBSWWIRNCQIJ-HUUCEWRRSA-N,VSWBSWWIRNCQIJ
42,1.0,CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2,OFBIFZUFASYYRE-UHFFFAOYSA-N,OFBIFZUFASYYRE
43,1.0,Oc1ccc2[nH]cc(CCCCN3CC=C(c4ccccc4)CC3)c2c1,HGEYJZMMUGWEOT-UHFFFAOYSA-N,HGEYJZMMUGWEOT
44,1.0,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,AAOVKJBEBIDNHE-UHFFFAOYSA-N,AAOVKJBEBIDNHE
45,1.0,CCN(C)C(=O)Oc1cccc([C@H](C)N(C)C)c1,XSVMFMHYUFZWBK-NSHDSACASA-N,XSVMFMHYUFZWBK
46,1.0,Cc1noc(NS(=O)(=O)c2ccc(N)cc2)c1C,NHUHCSRWZMLRLA-UHFFFAOYSA-N,NHUHCSRWZMLRLA
47,0.0,Cc1ccc(Cc2c[nH]c(NCCCCc3ncc(Br)cc3C)nc2=O)cn1,OGEAASSLWZDQBM-UHFFFAOYSA-N,OGEAASSLWZDQBM
48,1.0,CN=C(NC#N)NCCSCc1csc(=NC(=N)N)[nH]1,YDDXVAXDYKBWDX-UHFFFAOYSA-N,YDDXVAXDYKBWDX
49,1.0,c1cc(CN2CCCCC2)cc(OCCCNc2nc3ccccc3s2)c1,KUBONGDXTUOOLM-UHFFFAOYSA-N,KUBONGDXTUOOLM
50,1.0,c1cc(CN2CCCCC2)cc(OCCCNc2nccs2)c1,KHOCPPWRDKJTNB-UHFFFAOYSA-N,KHOCPPWRDKJTNB
51,0.0,CC(=O)N1CCN(C(=O)Cc2ccc(Cl)c(Cl)c2)[C@@H](CN2CC[C@H](O)C2)C1,ZFWNCCCNZIYJAQ-HOTGVXAUSA-N,ZFWNCCCNZIYJAQ
52,0.0,CC(=O)N1CCN(C(=O)Cc2ccccc2)[C@@H](CN2CC[C@H](O)C2)C1,DOKIXXRTJKWZED-ROUUACIJSA-N,DOKIXXRTJKWZED
53,0.0,CC(=O)Nc1cccc(-c2csc(=NC(=N)N)[nH]2)c1,BVPYPYSWYGKYAG-UHFFFAOYSA-N,BVPYPYSWYGKYAG
54,1.0,CC(C)(C)c1ccc(OC(F)(F)F)c(CN[C@H]2CCCN[C@H]2c2ccccc2)c1,DLFQYLFMHDOVDP-FPOVZHCZSA-N,DLFQYLFMHDOVDP
55,1.0,CC(C)(C)OC(=O)c1ncn2c1[C@@H]1CCCN1C(=O)c1cc(Br)ccc1-2,GTRFGCMGMHCDPF-AWEZNQCLSA-N,GTRFGCMGMHCDPF
56,0.0,CC(C)CC1C(=O)N2CCC[C@H]2C2(O)OC(NC(=O)C3C=C4c5cccc6[nH]c(Br)c(c56)C[C@@H]4N(C)C3)(C(C)C)C(=O)N12,OZVBMTJYIDMWIL-GAULPUGNSA-N,OZVBMTJYIDMWIL
57,1.0,CC(C)[C@@H](CN1CCCC1)N(C)C(=O)Cc1ccc(Cl)c(Cl)c1,IQEQNVRDAVMDJB-QGZVFWFLSA-N,IQEQNVRDAVMDJB
58,1.0,Cc1nc2cc(CN[C@H]3CCCN[C@H]3c3ccccc3)c(OC(C)C)cc2s1,PIWQPOFYNLTCOJ-CVDCTZTESA-N,PIWQPOFYNLTCOJ
59,1.0,CC12N[C@@H](Cc3ccccc31)c1ccccc12,LBOJYSIDWZQNJS-VYRBHSGPSA-N,LBOJYSIDWZQNJS
60,1.0,Cc1cc(Br)cc(C)c1NC1=NCCN1,FVZBHRRTMVAKDW-UHFFFAOYSA-N,FVZBHRRTMVAKDW
61,1.0,Cc1cc(Cl)ccc1NC1=NCCN1,WCJNRJDOHCANAL-UHFFFAOYSA-N,WCJNRJDOHCANAL
62,1.0,C[C@@H]1c2ccccc2N(C(N)=O)c2ccccc2[C@H]1C,LHOPRWMVPXVFBR-RYUDHWBXSA-N,LHOPRWMVPXVFBR
63,1.0,CC[C@H](C)Nc1ccc(I)c(N[C@@H](C)CC)c1,HFCGPUOPDRSSQT-QWRGUYRKSA-N,HFCGPUOPDRSSQT
64,1.0,CCc1cccc(N=C(C)Nc2cccc(CC)c2)c1,KFFBDUUIJZXEMY-UHFFFAOYSA-N,KFFBDUUIJZXEMY
65,1.0,CCc1ccc(C(=O)C(C)CN2CCCC2)cc1,VNFAARJCGSAROU-UHFFFAOYSA-N,VNFAARJCGSAROU
66,1.0,CCCCCC1(CC)C(=O)NC(=O)NC1=O,XYGXSCVUMIDZRR-UHFFFAOYSA-N,XYGXSCVUMIDZRR
67,1.0,CCCCCCn1ccc(=O)c(O)c1C,UJMBXXIGVFMNDN-UHFFFAOYSA-N,UJMBXXIGVFMNDN
68,1.0,CCCN(CCC)CCc1ccc(O)c2[nH]c(O)cc12,NNCXOZUMKBODCV-UHFFFAOYSA-N,NNCXOZUMKBODCV
69,1.0,CCCN(CCC)CCc1ccc2[nH]c(O)cc2c1,HWOSGSFJHIJPLM-UHFFFAOYSA-N,HWOSGSFJHIJPLM
70,1.0,CCC[C@H](C)C1(CC)C(=O)NC(=S)NC1=O,IUJDSEJGGMCXSG-ZETCQYMHSA-N,IUJDSEJGGMCXSG
71,0.0,CC[C@@H](CO)NCCN[C@@H](CC)CO,AEUTYOVWOVBAKS-UWVGGRQHSA-N,AEUTYOVWOVBAKS
72,1.0,CC[C@H](NC(=O)c1c(C)c(-c2ccccc2)nc2ccccc12)c1ccccc1,MQNYRKWJSMQECI-QFIPXVFZSA-N,MQNYRKWJSMQECI
73,1.0,CN(C(=O)Cc1ccc(Cl)c(Cl)c1)[C@H]1CCCC[C@@H]1N1CCCC1,VQLPLYSROCPWFF-ROUUACIJSA-N,VQLPLYSROCPWFF
74,1.0,CN(C)c1ccccc1Sc1ccc(CCF)cc1N,CQBGCZLGSWZJNE-UHFFFAOYSA-N,CQBGCZLGSWZJNE
75,1.0,Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C,RMMXTBMQSGEXHJ-UHFFFAOYSA-N,RMMXTBMQSGEXHJ
76,0.0,CN(C)Cc1ccc(CSCCNc2[nH]ccc2[N+](=O)[O-])o1,DHYIGZBRHRKUJI-UHFFFAOYSA-N,DHYIGZBRHRKUJI
77,0.0,CN(C)Cc1ccc(CSCCNc2nc(=O)c(Cc3ccc4ccccc4c3)c[nH]2)o1,UWWCRSMIORHGLM-UHFFFAOYSA-N,UWWCRSMIORHGLM
78,1.0,CN(C)Cc1ccc(-c2cccc(Nc3[nH]ccc3[N+](=O)[O-])c2)o1,FCVQVRVNPCWHDM-UHFFFAOYSA-N,FCVQVRVNPCWHDM
79,1.0,CN(C)Cc1ccnc(-c2cccc(Nc3[nH]ccc3[N+](=O)[O-])c2)c1,PYCFDUKKBNGLNC-UHFFFAOYSA-N,PYCFDUKKBNGLNC
80,1.0,CN(C)Cc1ccc(CSCCNc2[nH]cc(Cc3ccccc3)c2[N+](=O)[O-])o1,YBLPBOGOFFVMPD-UHFFFAOYSA-N,YBLPBOGOFFVMPD
81,0.0,CN1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn4c3c2SCC4)CC1,NJCJBUHJQLFDSW-UHFFFAOYSA-N,NJCJBUHJQLFDSW
82,0.0,CN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccc(F)cc2)CC1,NOCJXYPHIIZEHN-UHFFFAOYSA-N,NOCJXYPHIIZEHN
83,1.0,CN1CCN(CCCN2c3ccccc3Sc3cccc(C(F)(F)F)c32)CC1,MGVHKJVFDBNLAZ-UHFFFAOYSA-N,MGVHKJVFDBNLAZ
84,1.0,CN1CN(c2ccccc2)C2(CCN(CCCC(=O)c3csc(I)c3)CC2)C1=O,VLWVQANQRIZPGR-UHFFFAOYSA-N,VLWVQANQRIZPGR
85,0.0,CN=C(C[N+](=O)[O-])NCCSc1ccc(CN(C)C)o1,CTVWDECRSJQAAN-UHFFFAOYSA-N,CTVWDECRSJQAAN
86,1.0,CNCCCN1c2ccccc2Sc2ccccc21,WOCOVPRTRIBGFZ-UHFFFAOYSA-N,WOCOVPRTRIBGFZ
87,1.0,COc1ccc(CN(CCN(C)C)c2ccccn2)cc1,YECBIJXISLIIDS-UHFFFAOYSA-N,YECBIJXISLIIDS
88,1.0,COC(=O)C1C(=O)CC(=Nc2cccc(OC(F)(F)F)c2)C[C@@H]1C,LRRSYSQUHBKEHI-CUVJYRNJSA-N,LRRSYSQUHBKEHI
89,1.0,COC(=O)C1C(=O)CC(=Nc2cccc([N+](=O)[O-])c2)C[C@@H]1C,QSPOXIZBJGHQDM-CUVJYRNJSA-N,QSPOXIZBJGHQDM
90,0.0,COC(=O)Nc1nc2cc(C(=O)N3CCN(c4ccccn4)CC3)ccc2[nH]1,SINZZLKFRXIFDJ-UHFFFAOYSA-N,SINZZLKFRXIFDJ
91,1.0,COc1ccc(C(C)(C)O)cc1CN[C@H]1C2CCN(CC2)[C@H]1C(c1ccccc1)c1ccccc1,FBOIFJGFNUAMIT-KYJUHHDHSA-N,FBOIFJGFNUAMIT
92,1.0,COc1ccc(C(C)C)cc1CN[C@H]1C2CCN(CC2)[C@H]1C(c1ccccc1)c1ccccc1,XPNMCDYOYIKVGB-CONSDPRKSA-N,XPNMCDYOYIKVGB
93,1.0,COc1ccc(N2CCCC2=O)cc1CN[C@H]1CCCN[C@H]1c1ccccc1,RSULMLYEIFKILJ-REWPJTCUSA-N,RSULMLYEIFKILJ
94,1.0,COc1ccccc1CN[C@H]1CCCN[C@H]1c1ccccc1,DTQNEFOKTXXQKV-HKUYNNGSSA-N,DTQNEFOKTXXQKV
95,1.0,COc1cc2c(c(CN[C@H]3CCCN[C@H]3c3ccccc3)c1)OCC2,ZZYXQLUAWYPDEQ-PMACEKPBSA-N,ZZYXQLUAWYPDEQ
96,1.0,COc1cc2c(cc1CN[C@H]1CCCN[C@H]1c1ccccc1)N(S(C)(=O)=O)[C@@H](C)C2,YZFSCLLJPJPXBQ-GRWTVWFQSA-N,YZFSCLLJPJPXBQ
97,1.0,COc1cc2oc(C)nc2cc1CN[C@H]1CCCN[C@H]1c1ccccc1,SXAIABXANQDJFT-UWJYYQICSA-N,SXAIABXANQDJFT
98,1.0,COc1cc2sc(C)nc2cc1CN[C@H]1CCCN[C@H]1c1ccccc1,ISJTXWDYEFSQTF-UWJYYQICSA-N,ISJTXWDYEFSQTF
99,1.0,COc1cc2sc(-c3ccccc3)nc2cc1CN[C@H]1CCCN[C@H]1c1ccccc1,DNQVBZDJQYZSDX-OFVILXPXSA-N,DNQVBZDJQYZSDX
100,1.0,COc1cc2sc(C3CC3)nc2cc1CN[C@H]1CCCN[C@H]1c1ccccc1,JDRGRKWIVKDYHL-AVRDEDQJSA-N,JDRGRKWIVKDYHL
101,1.0,COc1ccc(N(c2nc(C)c(C)s2)S(C)(=O)=O)cc1CN[C@H]1CCCN[C@H]1c1ccccc1,XVUGPUBFELWEAK-UPVQGACJSA-N,XVUGPUBFELWEAK
102,1.0,COc1ccc(S(C)(=O)=O)cc1CN[C@H]1CCCN[C@H]1c1ccccc1,KYZSAIKOCXDHKT-ICSRJNTNSA-N,KYZSAIKOCXDHKT
103,0.0,COc1ccc2c(c1)[C@H](CC(=O)O)[C@H](C)N2C(=O)c1ccc(Cl)cc1,LCUUTQDVRHCQTB-XHDPSFHLSA-N,LCUUTQDVRHCQTB
104,1.0,COc1cc(N)c(Cl)cc1C(=O)N[C@H]1CCN(CCCOc2ccc(F)cc2)C[C@@H]1OC,DCSUBABJRXZOMT-UNMCSNQZSA-N,DCSUBABJRXZOMT
105,1.0,C#CC1(O)CC[C@H]2[C@@H]3[C@H](CCC21C)C1=C(CC(=O)CC1)C[C@@H]3C,WZDGZWOAQTVYBX-GHJSZRANSA-N,WZDGZWOAQTVYBX
106,1.0,CSc1ccc2c(c1)N(CC[C@@H]1CCCCN1)c1ccccc1S2,UFDCSHQNNVQXAS-HNNXBMFYSA-N,UFDCSHQNNVQXAS
107,1.0,Clc1cccc(Cl)c1N[C@H]1N=CCN1,RWPSRMKULJIPPG-VIFPVBQESA-N,RWPSRMKULJIPPG
108,1.0,Clc1cc(Cl)c(NC2=NCCN2)c(Cl)c1,REGMPMOUDUTRSJ-UHFFFAOYSA-N,REGMPMOUDUTRSJ
109,1.0,Clc1ccc2c(c1)[C@H]1CNC[C@@H]1c1ccccc1O2,DQUCRGAOGUQHJQ-ZIAGYGMSSA-N,DQUCRGAOGUQHJQ
110,1.0,O=C1CN=C(c2ccccc2)c2c(Cl)cccc2N1,GZLROLJNGZSEDS-UHFFFAOYSA-N,GZLROLJNGZSEDS
111,1.0,FC(F)Oc1ccc(OC(F)(F)F)cc1CN[C@H]1CCCN[C@H]1c1ccccc1,SZJWAICDHPWWKL-WMZOPIPTSA-N,SZJWAICDHPWWKL
112,0.0,CCN=C(NC#N)NCCSCc1ncccc1Br,QSVQYESUCVTVDQ-UHFFFAOYSA-N,QSVQYESUCVTVDQ
113,0.0,CN(C)c1cc(-c2n[nH]c(N)n2)ccn1,LJSSPQRYKZTFBZ-UHFFFAOYSA-N,LJSSPQRYKZTFBZ
114,0.0,Nc1ccc(N=Nc2ccccc2)c(N)n1,QPFYXYFORQJZEC-UHFFFAOYSA-N,QPFYXYFORQJZEC
115,1.0,NC(=O)C1c2ccccc2C2OC2c2ccccc21,NMQDLHGETBRRJD-UHFFFAOYSA-N,NMQDLHGETBRRJD
116,1.0,NC(=O)c1ncn([C@H]2O[C@@H](CO)[C@@H](O)[C@@H]2O)n1,IWUCXVSUMQZMFG-WVBYAZCYSA-N,IWUCXVSUMQZMFG
117,0.0,N=C(N)N=c1[nH]c(-c2cccc(N)c2)cs1,QDNHJPYZKZDMNJ-UHFFFAOYSA-N,QDNHJPYZKZDMNJ
118,1.0,Nc1ccn([C@@H]2C[C@@H](CO)[C@@H](CO)O2)c(=O)n1,WZGBNAXNHRMYLG-OOZYFLPDSA-N,WZGBNAXNHRMYLG
119,0.0,NCCc1nc(-c2ccccc2)cs1,PBZAFLUKYPTHFG-UHFFFAOYSA-N,PBZAFLUKYPTHFG
120,1.0,NC1[C@@H]2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(F)cc3F)C[C@@H]12,WVPSKSLAZQPAKQ-GHMZBOCLSA-N,WVPSKSLAZQPAKQ
121,0.0,CC(=O)N1CCN(C(=O)Cc2cc(F)cc(F)c2)[C@@H](CN2CC[C@H](O)C2)C1,WLZKXQIQNDDGFA-ROUUACIJSA-N,WLZKXQIQNDDGFA
122,0.0,COc1ccc(CC(=O)N2CCN(C(C)=O)C[C@@H]2CN2CC[C@H](O)C2)cc1,KPROYTOCROSGBH-ROUUACIJSA-N,KPROYTOCROSGBH
123,0.0,CC(=O)N1CCN(C(=O)Cc2ccc([N+](=O)[O-])cc2)[C@@H](CN2CC[C@H](O)C2)C1,PEQOZYFAQULPER-ROUUACIJSA-N,PEQOZYFAQULPER
124,0.0,CC(=O)N1CCN(C(=O)Cc2ccc(S(C)(=O)=O)cc2)[C@@H](CN2CC[C@H](O)C2)C1,QSANFOKTOUEHDW-ROUUACIJSA-N,QSANFOKTOUEHDW
125,0.0,CC(=O)N1CCN(C(=O)Cc2ccc([S+](C)O)cc2)[C@@H](CN2CC[C@H](O)C2)C1,JJSAPZSBNILBGP-SAXZKVMDSA-N,JJSAPZSBNILBGP
126,0.0,CC[C@H](NC(=O)c1c(OCCNC(=O)Cc2ccccn2)c(-c2ccccc2)nc2ccccc12)c1ccccc1,BJRXFVVSVWUGSV-NDEPHWFRSA-N,BJRXFVVSVWUGSV
127,0.0,CC[C@H](NC(=O)c1c(OCCNC(=O)C2CCCN2)c(-c2ccccc2)nc2ccccc12)c1ccccc1,ORPZVEATXOARKK-PVCWFJFTSA-N,ORPZVEATXOARKK
128,1.0,O=c1ccc(-c2c(-c3ccccc3)nn3ccccc23)nn1CCN1CCCCC1,PSDPQRITXCPIJU-UHFFFAOYSA-N,PSDPQRITXCPIJU
129,1.0,O=[N+]([O-])c1cc[nH]c1NCCSCc1ccccn1,OGWNKQBYDIKVII-UHFFFAOYSA-N,OGWNKQBYDIKVII
130,1.0,O=C(O)c1cc[nH]c1NCCSCc1ncccc1Br,ZJQMVHZXQXLHEW-UHFFFAOYSA-N,ZJQMVHZXQXLHEW
131,0.0,O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1,JCKYGMPEJWAADB-UHFFFAOYSA-N,JCKYGMPEJWAADB
132,0.0,C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl,AVOLMBLBETYQHX-UHFFFAOYSA-N,AVOLMBLBETYQHX
133,1.0,O=[N+]([O-])c1nccn1C[C@H](O)COCF,FUYIMIBLWNYUIU-LURJTMIESA-N,FUYIMIBLWNYUIU
134,0.0,CCc1c(O)c(=O)ccn1CCCCO,PGAVJEVPRWLSBG-UHFFFAOYSA-N,PGAVJEVPRWLSBG
135,1.0,OCCCOc1cccc(CN2CCCCC2)c1,JACPUZOKPSTMTK-UHFFFAOYSA-N,JACPUZOKPSTMTK
136,0.0,CN(C(=O)Cc1ccccc1N)[C@H](CN1CC[C@H](O)C1)c1ccccc1,SYMWUCVROYSIKP-AZUAARDMSA-N,SYMWUCVROYSIKP
137,1.0,COC(=O)N1CCN(C(=O)Cc2ccc(Cl)c(Cl)c2)[C@@H](CN2CCCC2)C1,HJUAKZYKCANOOZ-HNNXBMFYSA-N,HJUAKZYKCANOOZ
138,1.0,CCOC(=O)N1CCN(C(=O)Cc2ccc(Cl)c(Cl)c2)[C@@H](CN2CCCC2)C1,NAILEPLTGOUWNK-INIZCTEOSA-N,NAILEPLTGOUWNK
139,0.0,O=C(Cc1ccc(Cl)c(Cl)c1)N1CCN(CCO)C[C@@H]1CN1CC[C@H](O)C1,SPNVIEKNVFWGMT-CVEARBPZSA-N,SPNVIEKNVFWGMT
140,0.0,O=C1NC(=O)C2(CCN(C(=O)Cc3ccc(Cl)c(Cl)c3)[C@H](CN3CCCC3)C2)N1,GNJLINZLUYVCPA-PVCZSOGJSA-N,GNJLINZLUYVCPA
141,0.0,O=C(Cc1ccc(Cl)c(Cl)c1)N1CCc2[nH]cnc2[C@@H]1CN1CCCC1,CJLJXCDVYJKDTR-KRWDZBQOSA-N,CJLJXCDVYJKDTR
142,1.0,O=C(Cc1ccc(Cl)c(Cl)c1)N1CCc2occc2[C@H]1CN1CCCC1,NZBGPQIBCIBEQA-GOSISDBHSA-N,NZBGPQIBCIBEQA
143,1.0,O=C(Cc1ccc(Cl)c(Cl)c1)N1CCc2sccc2[C@H]1CN1CCCC1,HTWGECPQHCRGFE-GOSISDBHSA-N,HTWGECPQHCRGFE
144,1.0,O=C(Cc1ccc(Cl)c(Cl)c1)N1CCn2ccnc2[C@@H]1CN1CCCC1,KVJYPMVFNCXSTH-KRWDZBQOSA-N,KVJYPMVFNCXSTH
145,0.0,O=C(Cc1ccc(Cl)c(Cl)c1)N1CCn2ccnc2[C@@H]1CN1CC[C@H](O)C1,MWBCFEIPAGCOES-YOEHRIQHSA-N,MWBCFEIPAGCOES
146,1.0,O=C(Cc1ccc(Cl)c(Cl)c1)N1CCn2ncnc2[C@@H]1CN1CCCC1,GEMQOTQZNVHANG-INIZCTEOSA-N,GEMQOTQZNVHANG
147,0.0,CN1Cc2c(-c3noc(C(C)(O)CO)n3)ncn2-c2cccc(Cl)c2C1=O,NHGAJMORWUZRDS-UHFFFAOYSA-N,NHGAJMORWUZRDS
148,1.0,O=C1CC(=O)N(c2ccccc2)c2cc(Cl)ccc2N1,RRTVVRIFVKKTJK-UHFFFAOYSA-N,RRTVVRIFVKKTJK
149,1.0,CN1CC[C@@H]2c3cc(Cl)ccc3Oc3ccccc3[C@H]2C1,SYLUBQOFGXPQIZ-CJNGLKHVSA-N,SYLUBQOFGXPQIZ
150,1.0,Clc1ccc2c(c1)[C@H]1CCNC[C@@H]1c1ccccc1O2,HAVFQXBFPOZUBU-DOMZBBRYSA-N,HAVFQXBFPOZUBU
151,1.0,O=C(Cc1ccc(Cl)c(Cl)c1)N1CCc2ccccc2[C@H]1CN1CCCC1,ATTHVGBIVYJECI-OAQYLSRUSA-N,ATTHVGBIVYJECI
152,1.0,NCCCN1c2ccccc2Sc2ccc(Cl)cc21,ZTQZBABFEUDZFE-UHFFFAOYSA-N,ZTQZBABFEUDZFE
153,1.0,CNCCCN1c2ccccc2Sc2ccc(Cl)cc21,YHFXGBOUSIKGMZ-UHFFFAOYSA-N,YHFXGBOUSIKGMZ
