SMILES,CASRN,EXTERNALID,N,NAME,ARTICLEID,PUBMEDID,PAGE,TABLE,Papp(PAMPA)(qualitative),pH,UNIT {pH},Temperature,UNIT {Temperature},comment (chemical)
C1=CC=C(C=C1)CN2CCC(CC3C(=O)C4=CC(OC)=C(OC)C=C4C3)CC2,120014-06-4,"Ruusmann, V.; Sild, S.; Maran U. QSAR DataBank repository: open and linked qualitative and quantitative structure?activity relationship models. J. Cheminf. 2015, 7:32.",128,Donepezil,A112528,30100533,-,-,high,9,Log unit,25,?C,"QsarDB repository, 2019, 10.15152:QDB"
NC1=NC(NCC2=CC=C(F)C=C2)=CC=C1NC(=O)OCC,56995-20-1,"Ruusmann, V.; Sild, S.; Maran U. QSAR DataBank repository: open and linked qualitative and quantitative structure?activity relationship models. J. Cheminf. 2015, 7:32.",134,Flupirtine,A112528,30100533,-,-,high,5,Log unit,25,?C,"QsarDB repository, 2019, 10.15152:QDB"
OC1C=CC23C4=C(OC2C1)C(OC)=CC=C4CN(C)CC3,357-70-0,"Ruusmann, V.; Sild, S.; Maran U. QSAR DataBank repository: open and linked qualitative and quantitative structure?activity relationship models. J. Cheminf. 2015, 7:32.",143,Galantamine,A112528,30100533,-,-,high,5,Log unit,25,?C,"QsarDB repository, 2019, 10.15152:QDB"
N(C(=O)C1=NN(C2=CC=CC=C12)C)C3CC4N(C)C(CCC4)C3,109889-09-0,"Ruusmann, V.; Sild, S.; Maran U. QSAR DataBank repository: open and linked qualitative and quantitative structure?activity relationship models. J. Cheminf. 2015, 7:32.",146,granisetron,A112528,30100533,-,-,high,9,Log unit,25,?C,"QsarDB repository, 2019, 10.15152:QDB"
OC1=CC(O)=C2C(=O)CC(OC2=C1)C3=CC=C(OC)C(O)=C3,520-33-2,"Ruusmann, V.; Sild, S.; Maran U. QSAR DataBank repository: open and linked qualitative and quantitative structure?activity relationship models. J. Cheminf. 2015, 7:32.",151,Hesperetin,A112528,30100533,-,-,high,9,Log unit,25,?C,"QsarDB repository, 2019, 10.15152:QDB"
OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC12C,50-23-7,"Ruusmann, V.; Sild, S.; Maran U. QSAR DataBank repository: open and linked qualitative and quantitative structure?activity relationship models. J. Cheminf. 2015, 7:32.",158,Hydrocortisone,A112528,30100533,-,-,high,3,Log unit,25,?C,"QsarDB repository, 2019, 10.15152:QDB"
OC(=O)CC1=CC=C2OCC3=CC=CC=C3C(=O)C2=C1,55453-87-7,"Ruusmann, V.; Sild, S.; Maran U. QSAR DataBank repository: open and linked qualitative and quantitative structure?activity relationship models. J. Cheminf. 2015, 7:32.",162,Isoxepac,A112528,30100533,-,-,high,9,Log unit,25,?C,"QsarDB repository, 2019, 10.15152:QDB"
OC(=O)C1=CN2C3=C(OCC2C)C(N4CCN(C)CC4)=C(F)C=C3C1=O,100986-85-4,"Ruusmann, V.; Sild, S.; Maran U. QSAR DataBank repository: open and linked qualitative and quantitative structure?activity relationship models. J. Cheminf. 2015, 7:32.",168,levofloxacin,A112528,30100533,-,-,low,9,Log unit,25,?C,"QsarDB repository, 2019, 10.15152:QDB"
N(N=C(C#N)C#N)C1=CC=C(C=C1)C2=NNC(=O)CC2C,141505-33-1,"Ruusmann, V.; Sild, S.; Maran U. QSAR DataBank repository: open and linked qualitative and quantitative structure?activity relationship models. J. Cheminf. 2015, 7:32.",174,Levosimendan,A112528,30100533,-,-,low,9,Log unit,25,?C,"QsarDB repository, 2019, 10.15152:QDB"
C1=CC=C2N=C(N3CCN(C)CC3)C4=CC(Cl)=CC=C4OC2=C1,02/10/1977,"Ruusmann, V.; Sild, S.; Maran U. QSAR DataBank repository: open and linked qualitative and quantitative structure?activity relationship models. J. Cheminf. 2015, 7:32.",183,Loxapine,A112528,30100533,-,-,high,5,Log unit,25,?C,"QsarDB repository, 2019, 10.15152:QDB"
N(C(=O)C)CCC1=CNC2=CC=C(OC)C=C12,73-31-4,"Ruusmann, V.; Sild, S.; Maran U. QSAR DataBank repository: open and linked qualitative and quantitative structure?activity relationship models. J. Cheminf. 2015, 7:32.",186,Melatonin,A112528,30100533,-,-,high,5,Log unit,25,?C,"QsarDB repository, 2019, 10.15152:QDB"
C1=C(C(=O)C2=CC=CC=C2C1=O)C,58-27-5,"Ruusmann, V.; Sild, S.; Maran U. QSAR DataBank repository: open and linked qualitative and quantitative structure?activity relationship models. J. Cheminf. 2015, 7:32.",192,menadione,A112528,30100533,-,-,high,7.4,Log unit,25,?C,"QsarDB repository, 2019, 10.15152:QDB"
N(C(=O)C1N(C)CCCC1)C2=C(C=CC=C2C)C,96-88-8,"Ruusmann, V.; Sild, S.; Maran U. QSAR DataBank repository: open and linked qualitative and quantitative structure?activity relationship models. J. Cheminf. 2015, 7:32.",202,Mepivacaine,A112528,30100533,-,-,high,9,Log unit,25,?C,"QsarDB repository, 2019, 10.15152:QDB"
NC1=NC(=CC(N)=[N+]1[O-])N2CCCCC2,38304-91-5,"Ruusmann, V.; Sild, S.; Maran U. QSAR DataBank repository: open and linked qualitative and quantitative structure?activity relationship models. J. Cheminf. 2015, 7:32.",204,Minoxidil,A112528,30100533,-,-,high,9,Log unit,25,?C,"QsarDB repository, 2019, 10.15152:QDB"
OC1=C2C(=O)OCC2=C(C(OC)=C1CC=C(C)CCC(=O)OCCN3CCOCC3)C,128794-94-5,"Ruusmann, V.; Sild, S.; Maran U. QSAR DataBank repository: open and linked qualitative and quantitative structure?activity relationship models. J. Cheminf. 2015, 7:32.",212,Mycophenolate mofetil,A112528,30100533,-,-,high,9,Log unit,25,?C,"QsarDB repository, 2019, 10.15152:QDB"
N1C(C#N)=C(C(=O)OC)C(C(C(=O)OC(C)C)=C1C)C2=CC=CC(=C2)[N+]([O-])=O,75530-68-6,"Ruusmann, V.; Sild, S.; Maran U. QSAR DataBank repository: open and linked qualitative and quantitative structure?activity relationship models. J. Cheminf. 2015, 7:32.",219,nilvadipine,A112528,30100533,-,-,high,5,Log unit,25,?C,"QsarDB repository, 2019, 10.15152:QDB"
N(C(NCCSCC=1N=C(SC1)CN(C)C)=C[N+]([O-])=O)C,76963-41-2,"Ruusmann, V.; Sild, S.; Maran U. QSAR DataBank repository: open and linked qualitative and quantitative structure?activity relationship models. J. Cheminf. 2015, 7:32.",222,nizatidine,A112528,30100533,-,-,high,9,Log unit,25,?C,"QsarDB repository, 2019, 10.15152:QDB"
N1C(=O)N(N=CC=2OC(=CC2)[N+]([O-])=O)CC1=O,67-20-9,"Ruusmann, V.; Sild, S.; Maran U. QSAR DataBank repository: open and linked qualitative and quantitative structure?activity relationship models. J. Cheminf. 2015, 7:32.",233,nitrofurantoin,A112528,30100533,-,-,low,5,Log unit,25,?C,"QsarDB repository, 2019, 10.15152:QDB"
NC1=CC=C(C=C1OCCCC)C(=O)OCCN(CC)CC,99-43-4,"Ruusmann, V.; Sild, S.; Maran U. QSAR DataBank repository: open and linked qualitative and quantitative structure?activity relationship models. J. Cheminf. 2015, 7:32.",236,Oxybuprocaine,A112528,30100533,-,-,high,5,Log unit,25,?C,"QsarDB repository, 2019, 10.15152:QDB"
NC1=NC(N)=C(N=NC2=CC=CC=C2)C=C1,94-78-0,"Ruusmann, V.; Sild, S.; Maran U. QSAR DataBank repository: open and linked qualitative and quantitative structure?activity relationship models. J. Cheminf. 2015, 7:32.",241,Phenazopyridine,A112528,30100533,-,-,high,3,Log unit,25,?C,"QsarDB repository, 2019, 10.15152:QDB"
OC1=CC=CC=C1,108-95-2,"Ruusmann, V.; Sild, S.; Maran U. QSAR DataBank repository: open and linked qualitative and quantitative structure?activity relationship models. J. Cheminf. 2015, 7:32.",251,Phenol,A112528,30100533,-,-,high,9,Log unit,25,?C,"QsarDB repository, 2019, 10.15152:QDB"
N(C(=O)OC1=CC=C2N(C)C3N(C)CCC3(C2=C1)C)C,57-47-6,"Ruusmann, V.; Sild, S.; Maran U. QSAR DataBank repository: open and linked qualitative and quantitative structure?activity relationship models. J. Cheminf. 2015, 7:32.",253,physostigmine,A112528,30100533,-,-,high,9,Log unit,25,?C,"QsarDB repository, 2019, 10.15152:QDB"
N(C(=O)C(NCCC)C)C1=CC=CC=C1C,721-50-6,"Ruusmann, V.; Sild, S.; Maran U. QSAR DataBank repository: open and linked qualitative and quantitative structure?activity relationship models. J. Cheminf. 2015, 7:32.",263,prilocaine,A112528,30100533,-,-,high,7.4,Log unit,25,?C,"QsarDB repository, 2019, 10.15152:QDB"
NCCCC(NC=1C=C(OC)C=C2C=CC=NC12)C,90-34-6,"Ruusmann, V.; Sild, S.; Maran U. QSAR DataBank repository: open and linked qualitative and quantitative structure?activity relationship models. J. Cheminf. 2015, 7:32.",268,Primaquine,A112528,30100533,-,-,high,5,Log unit,25,?C,"QsarDB repository, 2019, 10.15152:QDB"
NC1=CC=C(C=C1)C(=O)NCCN(CC)CC,51-06-9,"Ruusmann, V.; Sild, S.; Maran U. QSAR DataBank repository: open and linked qualitative and quantitative structure?activity relationship models. J. Cheminf. 2015, 7:32.",271,Procainamide,A112528,30100533,-,-,high,5,Log unit,25,?C,"QsarDB repository, 2019, 10.15152:QDB"
N(NCC1=CC=C(C=C1)C(=O)NC(C)C)C,671-16-9,"Ruusmann, V.; Sild, S.; Maran U. QSAR DataBank repository: open and linked qualitative and quantitative structure?activity relationship models. J. Cheminf. 2015, 7:32.",281,procarbazine,A112528,30100533,-,-,high,9,Log unit,25,?C,"QsarDB repository, 2019, 10.15152:QDB"
NC1=CC(=CC=C1OCCC)C(=O)OCCN(CC)CC,499-67-2,"Ruusmann, V.; Sild, S.; Maran U. QSAR DataBank repository: open and linked qualitative and quantitative structure?activity relationship models. J. Cheminf. 2015, 7:32.",286,Proparacaine,A112528,30100533,-,-,high,7.4,Log unit,25,?C,"QsarDB repository, 2019, 10.15152:QDB"
NC(=S)C1=CC=NC(=C1)CCC,14222-60-7,"Ruusmann, V.; Sild, S.; Maran U. QSAR DataBank repository: open and linked qualitative and quantitative structure?activity relationship models. J. Cheminf. 2015, 7:32.",290,Protionamide,A112528,30100533,-,-,high,7.4,Log unit,25,?C,"QsarDB repository, 2019, 10.15152:QDB"
OC1=C(N=CC(=C1C=O)CO)C,66-72-8,"Ruusmann, V.; Sild, S.; Maran U. QSAR DataBank repository: open and linked qualitative and quantitative structure?activity relationship models. J. Cheminf. 2015, 7:32.",294,PYRIDOXAL,A112528,30100533,-,-,low,7.4,Log unit,25,?C,"QsarDB repository, 2019, 10.15152:QDB"
OC1=CC=CC=C1C(=O)N,65-45-2,"Ruusmann, V.; Sild, S.; Maran U. QSAR DataBank repository: open and linked qualitative and quantitative structure?activity relationship models. J. Cheminf. 2015, 7:32.",305,salicylamide,A112528,30100533,-,-,high,7.4,Log unit,25,?C,"QsarDB repository, 2019, 10.15152:QDB"
OC(=O)CCC(=O)NC1=CC=C(C=C1)S(=O)(=O)NC2=NC=CS2,116-43-8,"Ruusmann, V.; Sild, S.; Maran U. QSAR DataBank repository: open and linked qualitative and quantitative structure?activity relationship models. J. Cheminf. 2015, 7:32.",310,Succinylsulfathiazole,A112528,30100533,-,-,low,3,Log unit,25,?C,"QsarDB repository, 2019, 10.15152:QDB"
NS(=O)(=O)C1=CC=C(OC)C(=C1)C(=O)NCC2N(CC)CCC2,15676-16-1,"Ruusmann, V.; Sild, S.; Maran U. QSAR DataBank repository: open and linked qualitative and quantitative structure?activity relationship models. J. Cheminf. 2015, 7:32.",316,sulpiride,A112528,30100533,-,-,high,7.4,Log unit,25,?C,"QsarDB repository, 2019, 10.15152:QDB"
N1C(=O)OCC1CC2=CC=C3NC=C(C3=C2)CCN(C)C,139264-17-8,"Ruusmann, V.; Sild, S.; Maran U. QSAR DataBank repository: open and linked qualitative and quantitative structure?activity relationship models. J. Cheminf. 2015, 7:32.",319,zolmitriptan,A112528,30100533,-,-,high,7.4,Log unit,25,?C,"QsarDB repository, 2019, 10.15152:QDB"
NS(=O)(=O)C1=CC(=CC=C1OC)CC(NCCOC2=CC=CC=C2OCC)C,106133-20-4,"Ruusmann, V.; Sild, S.; Maran U. QSAR DataBank repository: open and linked qualitative and quantitative structure?activity relationship models. J. Cheminf. 2015, 7:32.",324,tamsulosin,A112528,30100533,-,-,low,9,Log unit,25,?C,"QsarDB repository, 2019, 10.15152:QDB"
OC(=O)CC1=CC=C(C(=O)C2=CC=C(C=C2)C)N1C,26171-23-3,"Ruusmann, V.; Sild, S.; Maran U. QSAR DataBank repository: open and linked qualitative and quantitative structure?activity relationship models. J. Cheminf. 2015, 7:32.",335,tolmetin,A112528,30100533,-,-,high,9,Log unit,25,?C,"QsarDB repository, 2019, 10.15152:QDB"
NS(=O)(=O)C1=CC2=C(NC(NS2(=O)=O)C(Cl)Cl)C=C1Cl,133-67-5,"Ruusmann, V.; Sild, S.; Maran U. QSAR DataBank repository: open and linked qualitative and quantitative structure?activity relationship models. J. Cheminf. 2015, 7:32.",340,trichlormethiazide,A112528,30100533,-,-,low,7.4,Log unit,25,?C,"QsarDB repository, 2019, 10.15152:QDB"
C1=NC(=CC=C1)N(CC2=CC=CC=C2)CCN(C)C,91-81-6,"Ruusmann, V.; Sild, S.; Maran U. QSAR DataBank repository: open and linked qualitative and quantitative structure?activity relationship models. J. Cheminf. 2015, 7:32.",344,Tripelennamine,A112528,30100533,-,-,high,7.4,Log unit,25,?C,"QsarDB repository, 2019, 10.15152:QDB"
N1C(=O)C2=C(N=C(N2N=C1C3=CC(=CC=C3OCC)S(=O)(=O)N4CCN(CC)CC4)CCC)C,224785-90-4,"Ruusmann, V.; Sild, S.; Maran U. QSAR DataBank repository: open and linked qualitative and quantitative structure?activity relationship models. J. Cheminf. 2015, 7:32.",350,vardenafil,A112528,30100533,-,-,high,5,Log unit,25,?C,"QsarDB repository, 2019, 10.15152:QDB"
OC1CCC2CN3CCC4=C(NC5=CC=CC=C45)C3CC2C1C(=O)OC,146-48-5,"Ruusmann, V.; Sild, S.; Maran U. QSAR DataBank repository: open and linked qualitative and quantitative structure?activity relationship models. J. Cheminf. 2015, 7:32.",355,Yohimbine,A112528,30100533,-,-,high,3,Log unit,25,?C,"QsarDB repository, 2019, 10.15152:QDB"
OCCOCN1C=NC2=C1N=C(N)NC2=O,59277-89-3,"Ruusmann, V.; Sild, S.; Maran U. QSAR DataBank repository: open and linked qualitative and quantitative structure?activity relationship models. J. Cheminf. 2015, 7:32.",393,Aciclovir,A112528,30100533,-,-,low,5,Log unit,25,?C,"QsarDB repository, 2019, 10.15152:QDB"
OC(=O)C=C(C=CC=C(C=CC1=C(C=C(OC)C(=C1C)C)C)C)C,55079-83-9,"Ruusmann, V.; Sild, S.; Maran U. QSAR DataBank repository: open and linked qualitative and quantitative structure?activity relationship models. J. Cheminf. 2015, 7:32.",402,Acitretin,A112528,30100533,-,-,high,9,Log unit,25,?C,"QsarDB repository, 2019, 10.15152:QDB"
N1C=NC=2NN=CC2C1=O,315-30-0,"Ruusmann, V.; Sild, S.; Maran U. QSAR DataBank repository: open and linked qualitative and quantitative structure?activity relationship models. J. Cheminf. 2015, 7:32.",409,allopurinol,A112528,30100533,-,-,low,5,Log unit,25,?C,"QsarDB repository, 2019, 10.15152:QDB"
OC1CCC(NCC2=CC(Br)=CC(Br)=C2N)CC1,18683-91-5,"Ruusmann, V.; Sild, S.; Maran U. QSAR DataBank repository: open and linked qualitative and quantitative structure?activity relationship models. J. Cheminf. 2015, 7:32.",415,Ambroxol,A112528,30100533,-,-,high,9,Log unit,25,?C,"QsarDB repository, 2019, 10.15152:QDB"
C1=CC=C(C=C1)N2N(C(=C(N(C)C)C2=O)C)C,58-15-1,"Ruusmann, V.; Sild, S.; Maran U. QSAR DataBank repository: open and linked qualitative and quantitative structure?activity relationship models. J. Cheminf. 2015, 7:32.",419,aminophenazone,A112528,30100533,-,-,high,3,Log unit,25,?C,"QsarDB repository, 2019, 10.15152:QDB"
C(=C1C2=CC=CC=C2CCC3=CC=CC=C13)CCN(C)C,50-48-6,"Ruusmann, V.; Sild, S.; Maran U. QSAR DataBank repository: open and linked qualitative and quantitative structure?activity relationship models. J. Cheminf. 2015, 7:32.",425,Amitriptyline,A112528,30100533,-,-,high,9,Log unit,25,?C,"QsarDB repository, 2019, 10.15152:QDB"
N1CCN(C2=NC3=CC=CC=C3OC4=CC=C(Cl)C=C24)CC1,14028-44-5,"Ruusmann, V.; Sild, S.; Maran U. QSAR DataBank repository: open and linked qualitative and quantitative structure?activity relationship models. J. Cheminf. 2015, 7:32.",431,Amoxapine,A112528,30100533,-,-,high,3,Log unit,25,?C,"QsarDB repository, 2019, 10.15152:QDB"
C1=C(N(N(C1=O)C2=CC=CC=C2)C)C,60-80-0,"Ruusmann, V.; Sild, S.; Maran U. QSAR DataBank repository: open and linked qualitative and quantitative structure?activity relationship models. J. Cheminf. 2015, 7:32.",439,Antipyrine,A112528,30100533,-,-,high,5,Log unit,25,?C,"QsarDB repository, 2019, 10.15152:QDB"
N(C1=NC2=CC=CC=C2N1CC3=CC=C(F)C=C3)C4CCN(CCC5=CC=C(OC)C=C5)CC4,68844-77-9,"Ruusmann, V.; Sild, S.; Maran U. QSAR DataBank repository: open and linked qualitative and quantitative structure?activity relationship models. J. Cheminf. 2015, 7:32.",441,astemizole,A112528,30100533,-,-,high,5,Log unit,25,?C,"QsarDB repository, 2019, 10.15152:QDB"
C1=CC=C2C(=NN(C(=O)C2=C1)C3CCN(C)CCC3)CC4=CC=C(Cl)C=C4,58581-89-8,"Ruusmann, V.; Sild, S.; Maran U. QSAR DataBank repository: open and linked qualitative and quantitative structure?activity relationship models. J. Cheminf. 2015, 7:32.",448,azelastine,A112528,30100533,-,-,high,9,Log unit,25,?C,"QsarDB repository, 2019, 10.15152:QDB"
OC1CC2(C)C(CC(C)C2(OC(=O)CC)C(=O)COC(=O)CC)C3CCC4=CC(=O)C=CC4(C)C13Cl,08/09/5534,"Ruusmann, V.; Sild, S.; Maran U. QSAR DataBank repository: open and linked qualitative and quantitative structure?activity relationship models. J. Cheminf. 2015, 7:32.",454,BECLOMETHASONE DIPROPIONATE,A112528,30100533,-,-,high,9,Log unit,25,?C,"QsarDB repository, 2019, 10.15152:QDB"
OC1=C(Br)C=C(C=C1Br)C(=O)C2=C(OC3=CC=CC=C23)CC,3562-84-3,"Ruusmann, V.; Sild, S.; Maran U. QSAR DataBank repository: open and linked qualitative and quantitative structure?activity relationship models. J. Cheminf. 2015, 7:32.",462,Benzbromarone,A112528,30100533,-,-,high,7.4,Log unit,25,?C,"QsarDB repository, 2019, 10.15152:QDB"
OC(=O)C1=CC=CC=C1,65-85-0,"Ruusmann, V.; Sild, S.; Maran U. QSAR DataBank repository: open and linked qualitative and quantitative structure?activity relationship models. J. Cheminf. 2015, 7:32.",469,Benzoic acid,A112528,30100533,-,-,high,3,Log unit,25,?C,"QsarDB repository, 2019, 10.15152:QDB"
N(C)CCC1=NC=CC=C1,5638-76-6,"Ruusmann, V.; Sild, S.; Maran U. QSAR DataBank repository: open and linked qualitative and quantitative structure?activity relationship models. J. Cheminf. 2015, 7:32.",473,betahistine,A112528,30100533,-,-,high,7.4,Log unit,25,?C,"QsarDB repository, 2019, 10.15152:QDB"
OC(COC1=CC=C(C=C1)CCOCC2CC2)CNC(C)C,63659-18-7,"Ruusmann, V.; Sild, S.; Maran U. QSAR DataBank repository: open and linked qualitative and quantitative structure?activity relationship models. J. Cheminf. 2015, 7:32.",478,betaxolol,A112528,30100533,-,-,high,3,Log unit,25,?C,"QsarDB repository, 2019, 10.15152:QDB"
OC(C(=O)NC1=CC=C(C#N)C(=C1)C(F)(F)F)(C)CS(=O)(=O)C2=CC=C(F)C=C2,90357-06-5,"Ruusmann, V.; Sild, S.; Maran U. QSAR DataBank repository: open and linked qualitative and quantitative structure?activity relationship models. J. Cheminf. 2015, 7:32.",482,Bicalutamide,A112528,30100533,-,-,high,7.4,Log unit,25,?C,"QsarDB repository, 2019, 10.15152:QDB"
